epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,240.658,0.52978,0.9304,0.59768,0.88514,0.9806,0.95878,0.98277,0.89886,0.9806,0.95878,0.98288,0.8445,0.40277,0.95003,0.47598,0.82666,0.0014258,0.0014258,0.0014258
31,250.646,0.5525,1.09901,0.62217,0.8768,0.97512,0.95611,0.98909,0.91998,0.97789,0.95882,0.98947,0.86878,0.37264,0.87476,0.46025,0.81798,0.001406,0.001406,0.001406
32,257.627,0.57511,1.03026,0.66373,0.89252,0.97542,0.97561,0.98924,0.92371,0.97542,0.97561,0.98992,0.8672,0.36793,0.86908,0.45818,0.81621,0.0013862,0.0013862,0.0013862
33,263.359,0.51847,0.97442,0.58712,0.87236,0.9507,0.94062,0.98289,0.90553,0.95076,0.94181,0.9831,0.82562,0.3767,1.02259,0.491,0.82521,0.0013664,0.0013664,0.0013664
34,271.057,0.54676,1.04432,0.58097,0.8692,0.94897,0.93767,0.98342,0.91125,0.94079,0.94729,0.98362,0.8485,0.36043,0.88883,0.50637,0.81718,0.0013466,0.0013466,0.0013466
35,276.83,0.5701,1.03543,0.592,0.87867,0.93587,0.9492,0.98019,0.90513,0.93853,0.95174,0.97942,0.85537,0.38101,0.82913,0.50315,0.81798,0.0013268,0.0013268,0.0013268
36,282.37,0.57416,1.05825,0.57192,0.87641,0.95237,0.94309,0.98312,0.90641,0.95455,0.9458,0.98333,0.8527,0.38866,0.90275,0.51377,0.82425,0.001307,0.001307,0.001307
37,287.918,0.53139,1.00871,0.57048,0.86862,0.95707,0.96667,0.9837,0.89697,0.95164,0.95992,0.98199,0.83987,0.38934,0.98732,0.51269,0.82565,0.0012872,0.0012872,0.0012872
38,296.12,0.57285,1.13298,0.54945,0.85741,0.973,0.97675,0.99007,0.91421,0.973,0.97675,0.99053,0.86146,0.35929,0.8286,0.43074,0.81721,0.0012674,0.0012674,0.0012674
39,303.768,0.54207,1.08958,0.54956,0.86585,0.96758,0.97065,0.99012,0.92013,0.96752,0.9688,0.99067,0.86928,0.35068,0.76318,0.42836,0.81745,0.0012476,0.0012476,0.0012476
40,308.939,0.51653,1.02925,0.5326,0.8555,0.94304,0.9423,0.97606,0.91059,0.94304,0.9423,0.97575,0.8509,0.3607,0.84973,0.48691,0.81908,0.0012278,0.0012278,0.0012278
41,316.06,0.46387,0.93222,0.50881,0.84843,0.95911,0.96748,0.98817,0.93344,0.96179,0.97019,0.98855,0.86914,0.32871,0.85295,0.41297,0.80844,0.001208,0.001208,0.001208
42,323.003,0.50152,0.96673,0.49973,0.85879,0.98894,0.96935,0.99246,0.92969,0.98894,0.96935,0.99246,0.86494,0.33685,0.87528,0.37455,0.80481,0.0011882,0.0011882,0.0011882
43,330.969,0.50463,0.98665,0.53605,0.85871,0.98628,0.97434,0.99287,0.93139,0.98627,0.97335,0.99269,0.85028,0.34501,0.94764,0.37242,0.80373,0.0011684,0.0011684,0.0011684
44,336.712,0.50974,1.00288,0.49598,0.85172,0.98887,0.96206,0.99283,0.93852,0.98887,0.96206,0.99283,0.87704,0.32631,0.86665,0.36724,0.806,0.0011486,0.0011486,0.0011486
45,342.443,0.54224,1.01315,0.51705,0.85994,0.98341,0.9639,0.99054,0.92953,0.98341,0.9639,0.99054,0.86712,0.33897,0.8931,0.38224,0.81065,0.0011288,0.0011288,0.0011288
46,348.573,0.53622,1.07674,0.54192,0.86101,0.9627,0.97936,0.98958,0.93327,0.96219,0.97832,0.98931,0.84761,0.32606,0.95094,0.38301,0.80952,0.001109,0.001109,0.001109
47,354.337,0.46721,0.88855,0.48152,0.85336,0.98303,0.94165,0.98522,0.93362,0.98303,0.94165,0.98485,0.88272,0.31879,0.76691,0.46836,0.79861,0.0010892,0.0010892,0.0010892
48,359.92,0.48755,0.97596,0.48037,0.85204,0.96951,0.95393,0.98846,0.93837,0.96951,0.95393,0.98846,0.89196,0.31945,0.6953,0.42465,0.798,0.0010694,0.0010694,0.0010694
49,365.53,0.51795,1.05583,0.49754,0.85415,0.95732,0.97263,0.99007,0.93974,0.97368,0.95664,0.98958,0.87271,0.31332,0.83377,0.38113,0.79897,0.0010496,0.0010496,0.0010496
50,371.25,0.51261,1.04537,0.48437,0.84748,0.96787,0.97968,0.9919,0.94144,0.96511,0.97452,0.99185,0.86831,0.3161,0.85705,0.35446,0.79757,0.0010298,0.0010298,0.0010298
51,381.275,0.51136,1.02492,0.48886,0.85555,0.98579,0.98103,0.99374,0.9421,0.98579,0.98103,0.99374,0.87806,0.32337,0.80467,0.33694,0.7983,0.00101,0.00101,0.00101
52,394.994,0.51062,0.9996,0.48173,0.8536,0.98895,0.98103,0.99398,0.94041,0.98895,0.98103,0.99398,0.86897,0.32996,0.82299,0.34341,0.79949,0.0009902,0.0009902,0.0009902
53,400.554,0.48544,0.92719,0.47571,0.85394,0.97638,0.98374,0.99325,0.94738,0.97369,0.98103,0.99273,0.88299,0.31881,0.77191,0.35225,0.80003,0.0009704,0.0009704,0.0009704
54,411.796,0.49637,1.04414,0.4729,0.84401,0.98083,0.97054,0.99048,0.93972,0.98083,0.97054,0.99048,0.87678,0.31866,0.78696,0.36589,0.79987,0.0009506,0.0009506,0.0009506
55,418.564,0.48131,0.95621,0.46465,0.85582,0.98218,0.96748,0.98938,0.93546,0.98218,0.96748,0.98852,0.86766,0.31971,0.84992,0.3696,0.80525,0.0009308,0.0009308,0.0009308
56,424.393,0.46888,0.96424,0.45824,0.84707,0.95607,0.94357,0.98253,0.92397,0.95607,0.94357,0.98253,0.86676,0.33746,0.83019,0.41523,0.80715,0.000911,0.000911,0.000911
57,433.742,0.45888,0.93149,0.44638,0.84291,0.97143,0.9458,0.98552,0.92915,0.97143,0.9458,0.98552,0.86496,0.31947,0.84618,0.41543,0.80584,0.0008912,0.0008912,0.0008912
58,442.286,0.48036,0.99042,0.44903,0.84785,0.97801,0.96426,0.99151,0.94134,0.97801,0.96426,0.99151,0.87052,0.31177,0.84091,0.36829,0.80614,0.0008714,0.0008714,0.0008714
59,448.555,0.50209,1.03216,0.46644,0.85126,0.97533,0.98103,0.99262,0.9451,0.97533,0.98103,0.99262,0.87999,0.31175,0.8016,0.35985,0.80509,0.0008516,0.0008516,0.0008516
